B?N1	Giay thu	So buoc (Step)	So xung / 1s	Luu luong (L/phut)				B?N 2	Giay thu	So buoc (Step)	So xung / 1s	Luu luong (L/phut)				B?N 3	Giay thu	So buoc (Step)	So xung / 1s	Luu luong (L/phut)
	1	226	0	0					1	141	20	0.244					1	150	26	0.315
	2	453	0	0					2	283	155	1.888					2	300	17	0.206
	3	680	0	0					3	425	154	1.876					3	450	16	0.194
	4	906	0	0					4	566	378	4.604					4	600	18	0.218
	5	1133	12	0.153					5	708	207	2.521					5	750	24	0.291
	6	1360	7	0.09					6	850	112	1.364					6	900	29	0.351
	7	1586	7	0.09					7	991	125	1.522					7	1050	32	0.388
	8	1813	8	0.102					8	1133	128	1.559					8	1200	33	0.4
	9	2040	9	0.115					9	1275	154	1.876					9	1350	32	0.388
	10	2266	10	0.128					10	1416	139	1.693					10	1500	32	0.388
	11	2493	17	0.217					11	1558	144	1.754					11	1650	34	0.412
	12	2720	18	0.23					12	1700	138	1.681					12	1800	40	0.485
	13	2946	25	0.32					13	1841	110	1.34					13	1950	37	0.448
	14	3173	25	0.32					14	1983	119	1.449					14	2100	37	0.448
	15	3400	27	0.345					15	2125	136	1.656					15	2250	36	0.436
	16	3626	28	0.358					16	2266	116	1.413					16	2400	37	0.448
	17	3853	30	0.384					17	2408	147	1.79					17	2550	36	0.436
	18	4080	30	0.384					18	2550	111	1.352					18	2700	39	0.473
	19	4306	32	0.409					19	2691	126	1.535					19	2850	35	0.424
	20	4533	34	0.435					20	2833	94	1.145					20	3000	35	0.424
	21	4760	34	0.435					21	2975	61	0.743					21	3150	36	0.436
	23	5213	33	0.422					22	3116	58	0.706					22	3300	41	0.497
	24	5440	34	0.435					23	3258	57	0.694					23	3450	41	0.497
	25	5666	34	0.435					24	3400	55	0.67					24	3600	38	0.46
	26	5893	36	0.46					25	3541	54	0.658					25	3750	37	0.448
	27	6120	36	0.46					26	3683	50	0.609					26	3900	36	0.436
	28	6346	35	0.448					27	3825	50	0.609					27	4050	36	0.436
	29	6573	35	0.448					28	3966	52	0.633					28	4200	40	0.485
	30	6800	35	0.448					29	4108	51	0.621					29	4350	35	0.424
	31	7026	35	0.448					30	4250	51	0.621					30	4500	36	0.436
	32	7253	36	0.46					31	4391	50	0.609					31	4650	37	0.448
	33	7480	35	0.448					32	4533	65	0.792					32	4800	38	0.46
	34	7706	35	0.448					33	4675	54	0.658					33	4950	35	0.424
	35	7933	35	0.448					34	4816	57	0.694					34	5100	40	0.485
	36	8160	33	0.422					35	4958	53	0.645					35	5250	37	0.448
	37	8386	35	0.448					36	5100	49	0.597					36	5400	38	0.46
	38	8613	35	0.448					37	5241	56	0.682					37	5550	38	0.46
	39	8840	35	0.448					38	5383	55	0.67					38	5700	42	0.509
	40	9066	36	0.46					39	5525	59	0.719					39	5850	40	0.485
	41	9293	35	0.448					40	5666	54	0.658					40	6000	36	0.436
	42	9520	35	0.448					41	5808	58	0.706					41	6150	48	0.582
	43	9746	34	0.435					42	5950	54	0.658					42	6300	42	0.509
	44	9973	35	0.448					43	6091	62	0.755					43	6450	35	0.424
	45	10200	34	0.435					44	6233	59	0.719					44	6600	42	0.509
	46	10426	34	0.435					45	6375	48	0.585					45	6750	37	0.448
	47	10653	34	0.435					46	6516	1220	14.858					46	6900	38	0.46
	48	10880	33	0.422					47	6658	62	0.755					47	7050	37	0.448
	49	11106	33	0.422					48	6800	54	0.658					48	7200	35	0.424
	50	11333	35	0.448					49	6941	56	0.682					49	7350	37	0.448
	51	11560	34	0.435					50	7083	53	0.645					50	7500	39	0.473
	52	11786	34	0.435					51	7225	59	0.719					51	7650	39	0.473
	53	12013	35	0.448					52	7366	60	0.731					52	7800	39	0.473
	54	12240	35	0.448					53	7508	54	0.658					53	7950	39	0.473
	55	12466	34	0.435					54	7650	53	0.645					54	8100	35	0.424
	56	12693	33	0.422					55	7791	66	0.804					55	8250	37	0.448
	57	12920	36	0.46					56	7933	54	0.658					56	8400	35	0.424
	58	13146	36	0.46					57	8075	57	0.694					57	8550	38	0.46
	59	13373	36	0.46					58	8216	52	0.633					58	8700	36	0.436
	60	13600	37	0.473					59	8358	57	0.694					59	8850	41	0.497
									60	8500	54	0.658					60	9000	39	0.473
